Date,Price,Open,High,Low,Volume,Change_Percent
2012-01-13,52.7,52.8,52.9,52.0,3270000.0,-0.47
2012-01-16,51.7,52.0,52.0,50.6,571740.0,-1.9
2012-01-17,53.9,51.7,54.0,51.7,4220000.0,4.26
2012-01-18,53.9,54.0,54.0,53.5,2290000.0,0.0
2012-01-19,51.9,53.9,53.9,51.75,2280000.0,-3.71
2012-01-20,50.6,51.75,51.75,50.6,3610000.0,-2.5
2012-01-23,50.5,51.675,51.675,50.45,2465000.0,-1.45
2012-01-24,50.4,51.6,51.6,50.3,1320000.0,-0.4
2012-01-25,50.5,50.0,51.25,50.0,2420000.0,0.2
2012-01-26,51.1,51.1,51.2,50.85,1670000.0,1.19
2012-01-27,53.6,51.15,53.6,51.15,2430000.0,4.89
2012-01-30,52.95,53.55,53.55,50.8,1060000.0,-1.21
2012-01-31,53.65,51.7,54.2,51.7,3260000.0,1.32
2012-02-01,54.5,53.65,54.75,53.3,5130000.0,1.58
2012-02-02,54.5,54.5,54.65,54.2,1390000.0,0.0
2012-02-03,54.5,54.55,54.6,54.2,3570000.0,0.0
2012-02-06,52.8,54.45,54.5,52.0,1470000.0,-3.12
2012-02-07,53.0,52.8,54.0,52.8,1880000.0,0.38
2012-02-08,52.0,53.95,53.95,52.0,809060.0,-1.89
2012-02-09,54.0,52.1,54.0,50.85,3090000.0,3.85
2012-02-10,52.15,52.1,52.4,51.85,2970000.0,-3.43
2012-02-13,52.2,52.15,52.4,52.1,228660.0,0.1
2012-02-14,51.85,52.2,52.2,51.7,1640000.0,-0.67
2012-02-15,51.85,51.95,52.0,51.7,457070.0,0.0
2012-02-16,50.6,51.9,51.9,50.45,2690000.0,-2.41
2012-02-17,50.9,51.0,51.5,50.6,2350000.0,0.59
2012-02-20,51.4,51.95,51.95,51.15,2260000.0,0.98
2012-02-21,51.45,51.4,51.5,51.35,1120000.0,0.1
2012-02-22,51.9,51.45,52.0,51.2,3860000.0,0.87
2012-02-23,52.6,52.0,54.0,51.8,8600000.0,1.35
2012-02-24,52.0,52.6,52.6,51.9,4010000.0,-1.14
2012-02-27,50.5,52.0,52.0,50.35,2700000.0,-2.88
2012-02-28,51.3,50.55,52.0,50.5,1710000.0,1.58
2012-02-29,53.0,51.05,53.0,51.05,2810000.0,3.31
2012-03-01,54.85,53.95,55.65,53.5,3700000.0,3.49
2012-03-02,57.5,54.45,58.15,54.45,3960000.0,4.83
2012-03-05,57.4,57.5,57.8,57.4,1070000.0,-0.17
2012-03-06,55.8,56.95,56.95,55.1,1240000.0,-2.79
2012-03-07,55.4,55.7,55.7,55.35,1640000.0,-0.72
2012-03-08,57.4,55.4,57.65,55.4,1080000.0,3.61
2012-03-09,58.4,57.45,59.5,57.0,4590000.0,1.74
2012-03-12,58.95,58.4,58.95,57.6,1560000.0,0.94
2012-03-13,59.65,59.2,60.1,59.0,4920000.0,1.19
2012-03-14,62.9,60.0,64.0,60.0,3590000.0,5.45
2012-03-15,61.9,61.2,63.0,61.2,2770000.0,-1.59
2012-03-16,64.0,62.3,64.0,62.0,3530000.0,3.39
2012-03-19,64.5,64.0,65.5,63.5,5250000.0,0.78
2012-03-20,64.75,64.9,65.0,64.4,3810000.0,0.39
2012-03-21,63.05,64.75,64.75,62.5,1930000.0,-2.63
2012-03-22,62.8,62.95,63.1,62.75,2120000.0,-0.4
2012-03-23,62.95,62.9,64.5,62.8,1500000.0,0.24
2012-03-26,64.0,63.0,65.0,63.0,1750000.0,1.67
2012-03-27,64.0,64.0,64.8,63.9,1800000.0,0.0
2012-03-28,64.0,64.0,64.4,63.95,2580000.0,0.0
2012-03-29,63.9,64.0,64.0,62.0,1470000.0,-0.16
2012-03-30,63.0,63.9,63.9,62.4,2610000.0,-1.41
2012-04-02,62.5,63.0,63.0,62.5,354120.0,-0.79
2012-04-03,62.5,63.0,63.0,62.0,937090.0,0.0
2012-04-04,62.1,63.7,63.7,61.6,928320.0,-0.64
2012-04-05,62.1,63.150000000000006,63.337500000000006,61.575,1128740.0,-0.48
2012-04-06,62.1,62.6,62.975,61.55,1329160.0,-0.32
2012-04-09,62.1,62.05,62.6125,61.525,1529580.0,-0.16000000000000003
2012-04-10,62.1,61.5,62.25,61.5,1730000.0,0.0
2012-04-11,62.0,62.25,62.25,61.9,522130.0,-0.16
2012-04-12,62.5,62.0,63.45,62.0,3660000.0,0.81
2012-04-13,64.9,63.4,64.9,62.25,2440000.0,3.84
