Date,Price_Merged
2012-03-22,1.22
2012-03-23,1.2
2012-03-26,1.2
2012-03-27,1.2
2012-03-28,1.19
2012-03-29,1.17
2012-03-30,1.18
2012-04-02,1.16
2012-04-03,1.16
2012-04-04,1.17
2012-04-05,1.1675
2012-04-06,1.165
2012-04-09,1.1625
2012-04-10,1.16
2012-04-11,1.16
2012-04-12,1.16
2012-04-13,1.15
2012-04-16,1.13
2012-04-17,1.16
2012-04-18,1.15
2012-04-19,1.15
2012-04-20,1.15
2012-04-23,1.15
2012-04-24,1.18
2012-04-25,1.18
2012-04-26,1.16
2012-04-27,1.16
2012-04-30,1.17
2012-05-01,1.165
2012-05-02,1.16
2012-05-03,1.16
2012-05-04,1.19
2012-05-07,1.17
2012-05-08,1.19
2012-05-09,1.17
2012-05-10,1.15
2012-05-11,1.15
2012-05-14,1.12
2012-05-15,1.11
2012-05-16,1.11
2012-05-17,1.15
2012-05-18,1.12
2012-05-21,1.15
2012-05-22,1.15
2012-05-23,1.12
2012-05-24,1.14
2012-05-25,1.15
2012-05-28,1.16
2012-05-29,1.16
2012-05-30,1.15
2012-05-31,1.15
2012-06-01,1.16
2012-06-04,1.15
2012-06-05,1.15
2012-06-06,1.15
2012-06-07,1.15
2012-06-08,1.15
2012-06-11,1.14
2012-06-12,1.14
2012-06-13,1.14
2012-06-14,1.12
2012-06-15,1.13
2012-06-18,1.14
2012-06-19,1.14
2012-06-20,1.14
2012-06-21,1.15
2012-06-22,1.13
2012-06-25,1.14
2012-06-26,1.14
2012-06-27,1.14
2012-06-28,1.14
2012-06-29,1.14
2012-07-02,1.15
2012-07-03,1.15
2012-07-04,1.15
2012-07-05,1.15
2012-07-06,1.15
2012-07-09,1.16
2012-07-10,1.15
2012-07-11,1.15
2012-07-12,1.15
2012-07-13,1.15
2012-07-16,1.16
2012-07-17,1.16
2012-07-18,1.15
2012-07-19,1.12
2012-07-20,1.13
2012-07-23,1.14
2012-07-24,1.1
2012-07-25,1.1
2012-07-26,1.1
2012-07-27,1.11
2012-07-30,1.11
2012-07-31,1.12
2012-08-01,1.12
2012-08-02,1.11
2012-08-03,1.1
2012-08-06,1.1
2012-08-07,1.1
2012-08-08,1.1
2012-08-09,1.1
2012-08-10,1.1
2012-08-13,1.1
2012-08-14,1.09
2012-08-15,1.09
2012-08-16,1.09
2012-08-17,1.12
2012-08-20,1.12
2012-08-21,1.12
2012-08-22,1.12
2012-08-23,1.1
2012-08-24,1.09
2012-08-27,1.09
2012-08-28,1.09
2012-08-29,1.08
2012-08-30,1.07
2012-08-31,1.08
2012-09-03,1.08
2012-09-04,1.08
2012-09-05,1.06
2012-09-06,1.1
2012-09-07,1.1
2012-09-10,1.09
2012-09-11,1.09
2012-09-12,1.08
2012-09-13,1.09
2012-09-14,1.09
2012-09-17,1.09
2012-09-18,1.09
2012-09-19,1.09
2012-09-20,1.11
2012-09-21,1.11
2012-09-24,1.12
2012-09-25,1.15
2012-09-26,1.13
2012-09-27,1.13
2012-09-28,1.11
2012-10-01,1.12
2012-10-02,1.13
2012-10-03,1.14
2012-10-04,1.12
2012-10-05,1.12
2012-10-08,1.14
2012-10-09,1.13
2012-10-10,1.13
2012-10-11,1.14
2012-10-12,1.13
2012-10-15,1.16
2012-10-16,1.19
2012-10-17,1.2
2012-10-18,1.18
2012-10-19,1.19
2012-10-22,1.18
2012-10-23,1.18
2012-10-24,1.18
2012-10-25,1.17
2012-10-26,1.17
2012-10-29,1.17
2012-10-30,1.17
2012-10-31,1.16
2012-11-01,1.163333333333333
2012-11-02,1.1666666666666663
2012-11-05,1.17
2012-11-06,1.18
2012-11-07,1.15
2012-11-08,1.14
2012-11-09,1.13
2012-11-12,1.14
2012-11-13,1.12
2012-11-14,1.13
2012-11-15,1.13
2012-11-16,1.15
2012-11-19,1.14
2012-11-20,1.14
2012-11-21,1.15
2012-11-22,1.13
2012-11-23,1.12
2012-11-26,1.12
2012-11-27,1.1
2012-11-28,1.12
2012-11-29,1.12
2012-11-30,1.12
2012-12-03,1.12
2012-12-04,1.12
2012-12-05,1.12
2012-12-06,1.13
2012-12-07,1.11
2012-12-10,1.11
2012-12-11,1.11
2012-12-12,1.11
2012-12-13,1.11
2012-12-14,1.1
2012-12-17,1.1
2012-12-18,1.1
2012-12-19,1.16
2012-12-20,1.13
2012-12-21,1.15
2012-12-24,1.1466666666666665
2012-12-25,1.143333333333333
2012-12-26,1.14
2012-12-27,1.15
2012-12-28,1.16
2012-12-31,1.2166666666666666
2013-01-01,1.2733333333333334
2013-01-02,1.33
2013-01-03,1.33
2013-01-04,1.31
2013-01-07,1.32
2013-01-08,1.31
2013-01-09,1.37
2013-01-10,1.4
2013-01-11,1.45
2013-01-14,1.44
2013-01-15,1.41
2013-01-16,1.43
2013-01-17,1.43
2013-01-18,1.45
2013-01-21,1.47
2013-01-22,1.41
2013-01-23,1.4
2013-01-24,1.4
2013-01-25,1.41
2013-01-28,1.45
2013-01-29,1.68
2013-01-30,1.75
2013-01-31,1.68
2013-02-01,1.78
2013-02-04,1.88
2013-02-05,1.77
2013-02-06,1.79
2013-02-07,1.78
2013-02-08,1.74
2013-02-11,1.74
2013-02-12,1.75
2013-02-13,1.8
2013-02-14,1.8
2013-02-15,1.83
2013-02-18,2.0
2013-02-19,1.99
2013-02-20,2.0
2013-02-21,1.93
2013-02-22,1.92
2013-02-25,2.01
2013-02-26,2.11
2013-02-27,2.11
2013-02-28,2.11
2013-03-01,2.14
2013-03-04,2.33
2013-03-05,2.44
2013-03-06,2.58
2013-03-07,2.55
2013-03-08,2.59
2013-03-11,2.53
2013-03-12,2.39
2013-03-13,2.42
2013-03-14,2.4
2013-03-15,2.4
2013-03-18,2.25
2013-03-19,2.28
2013-03-20,2.28
2013-03-21,2.2
2013-03-22,2.22
2013-03-25,2.26
2013-03-26,2.23
2013-03-27,2.29
2013-03-28,2.28
2013-03-29,2.27
2013-04-01,2.26
2013-04-02,2.25
2013-04-03,2.22
2013-04-04,2.21
2013-04-05,2.2
2013-04-08,2.19
2013-04-09,2.24
2013-04-10,2.29
2013-04-11,2.31
2013-04-12,2.35
2013-04-15,2.35
2013-04-16,2.29
2013-04-17,2.34
2013-04-18,2.32
2013-04-19,2.37
2013-04-22,2.55
2013-04-23,2.62
2013-04-24,2.63
2013-04-25,2.67
2013-04-26,2.63
2013-04-29,2.73
2013-04-30,2.81
2013-05-01,2.8600000000000003
2013-05-02,2.91
2013-05-03,2.6
2013-05-06,2.58
2013-05-07,2.66
2013-05-08,2.64
2013-05-09,2.62
2013-05-10,2.65
2013-05-13,2.71
2013-05-14,2.77
2013-05-15,2.79
2013-05-16,2.75
2013-05-17,2.79
2013-05-20,2.75
2013-05-21,2.76
2013-05-22,2.72
2013-05-23,2.58
2013-05-24,2.57
2013-05-27,2.5
2013-05-28,2.55
2013-05-29,2.56
2013-05-30,2.39
2013-05-31,2.39
2013-06-03,2.25
2013-06-04,2.22
2013-06-05,2.24
2013-06-06,2.29
2013-06-07,2.51
2013-06-10,2.53
2013-06-11,2.4
2013-06-12,2.315
2013-06-13,2.23
2013-06-14,2.29
2013-06-17,2.33
2013-06-18,2.31
2013-06-19,2.29
2013-06-20,2.25
2013-06-21,2.25
2013-06-24,2.16
2013-06-25,2.08
2013-06-26,2.14
2013-06-27,2.18
2013-06-28,2.17
2013-07-01,2.19
2013-07-02,2.21
2013-07-03,2.25
2013-07-04,2.36
2013-07-05,2.36
2013-07-08,2.31
2013-07-09,2.35
2013-07-10,2.29
2013-07-11,2.38
2013-07-12,2.38
2013-07-15,2.4
2013-07-16,2.41
2013-07-17,2.42
2013-07-18,2.44
2013-07-19,2.41
2013-07-22,2.4
2013-07-23,2.72
2013-07-24,2.72
2013-07-25,2.72
2013-07-26,2.79
2013-07-29,2.73
2013-07-30,2.66
2013-07-31,2.5
2013-08-01,2.49
2013-08-02,2.43
2013-08-05,2.39
2013-08-06,2.4
2013-08-07,2.4
2013-08-08,2.42
2013-08-09,2.425
2013-08-12,2.43
2013-08-13,2.44
2013-08-14,2.45
2013-08-15,2.45
2013-08-16,2.45
2013-08-19,2.4075
2013-08-20,2.365
2013-08-21,2.3225
2013-08-22,2.28
2013-08-23,2.3
2013-08-26,2.245
2013-08-27,2.19
2013-08-28,2.08
2013-08-29,2.18
2013-08-30,2.21
2013-09-02,2.2
2013-09-03,2.19
2013-09-04,2.19
2013-09-05,2.15
2013-09-06,2.14
2013-09-09,2.15
2013-09-10,2.19
2013-09-11,2.2
2013-09-12,2.21
2013-09-13,2.19
2013-09-16,2.17
2013-09-17,2.17
2013-09-18,2.17
2013-09-19,2.2
2013-09-20,2.17
2013-09-23,2.16
2013-09-24,2.16
2013-09-25,2.16
2013-09-26,2.16
2013-09-27,2.15
2013-09-30,2.05
2013-10-01,2.06
2013-10-02,2.1
2013-10-03,2.08
2013-10-04,2.07
2013-10-07,2.06
2013-10-08,2.07
2013-10-09,2.1
2013-10-10,2.16
2013-10-11,2.18
2013-10-14,2.15
2013-10-15,2.14
2013-10-16,2.13
2013-10-17,2.18
2013-10-18,2.19
2013-10-21,2.18
2013-10-22,2.19
2013-10-23,2.18
2013-10-24,2.17
2013-10-25,2.15
2013-10-28,2.165
2013-10-29,2.18
2013-10-30,2.37
2013-10-31,2.35
2013-11-01,2.33
2013-11-04,2.31
2013-11-05,2.31
2013-11-06,2.31
2013-11-07,1.87
2013-11-08,1.91
2013-11-11,1.91
2013-11-12,1.91
2013-11-13,1.87
2013-11-14,1.87
2013-11-15,1.87
2013-11-18,1.83
2013-11-19,1.75
2013-11-20,1.68
2013-11-21,1.59
2013-11-22,1.6
2013-11-25,1.54
2013-11-26,1.5
2013-11-27,1.46
2013-11-28,1.52
2013-11-29,1.46
2013-12-02,1.46
2013-12-03,1.41
2013-12-04,1.44
2013-12-05,1.49
2013-12-06,1.47
2013-12-09,1.46
2013-12-10,1.43
2013-12-11,1.4
2013-12-12,1.4
2013-12-13,1.41
2013-12-16,1.43
2013-12-17,1.47
2013-12-18,1.43
2013-12-19,1.45
2013-12-20,1.42
2013-12-23,1.42
2013-12-24,1.4266666666666663
2013-12-25,1.4333333333333331
2013-12-26,1.44
2013-12-27,1.4
2013-12-30,1.415
2013-12-31,1.43
2014-01-01,1.4449999999999998
2014-01-02,1.46
2014-01-03,1.49
2014-01-06,1.58
2014-01-07,1.54
2014-01-08,1.56
2014-01-09,1.54
2014-01-10,1.5
2014-01-13,1.58
2014-01-14,1.76
2014-01-15,1.81
2014-01-16,1.85
2014-01-17,1.85
2014-01-20,1.91
2014-01-21,1.95
2014-01-22,2.0
2014-01-23,1.98
2014-01-24,1.95
2014-01-27,1.89
2014-01-28,1.87
2014-01-29,1.91
2014-01-30,1.88
2014-01-31,1.88
2014-02-03,1.88
2014-02-04,1.78
2014-02-05,1.76
2014-02-06,1.77
2014-02-07,1.86
2014-02-10,1.91
2014-02-11,1.91
2014-02-12,1.9
2014-02-13,1.89
2014-02-14,1.89
2014-02-17,1.88
2014-02-18,1.88
2014-02-19,1.91
2014-02-20,1.87
2014-02-21,1.89
2014-02-24,1.91
2014-02-25,1.9
2014-02-26,1.91
2014-02-27,1.95
2014-02-28,2.01
2014-03-03,2.01
2014-03-04,2.08
2014-03-05,2.07
2014-03-06,2.1
2014-03-07,2.1
2014-03-10,2.12
2014-03-11,2.12
2014-03-12,2.1
2014-03-13,2.11
2014-03-14,2.09
2014-03-17,2.09
2014-03-18,2.07
2014-03-19,2.06
2014-03-20,2.04
2014-03-21,2.05
2014-03-24,2.11
2014-03-25,2.07
2014-03-26,2.05
2014-03-27,1.97
2014-03-28,1.99
2014-03-31,1.97
2014-04-01,2.0
2014-04-02,2.02
2014-04-03,2.03
2014-04-04,2.02
2014-04-07,2.04
2014-04-08,2.2
2014-04-09,2.175
2014-04-10,2.15
2014-04-11,2.16
2014-04-14,2.24
2014-04-15,2.23
2014-04-16,2.25
2014-04-17,2.303333333333333
2014-04-18,2.356666666666667
2014-04-21,2.41
2014-04-22,2.36
2014-04-23,2.37
2014-04-24,2.38
2014-04-25,2.39
2014-04-28,2.35
2014-04-29,2.34
2014-04-30,2.33
2014-05-01,2.345
2014-05-02,2.36
2014-05-05,2.32
2014-05-06,2.36
2014-05-07,2.4
2014-05-08,2.46
2014-05-09,2.48
2014-05-12,2.48
2014-05-13,2.54
2014-05-14,2.6
2014-05-15,2.58
2014-05-16,2.5
2014-05-19,2.5
2014-05-20,2.45
2014-05-21,2.41
2014-05-22,2.44
2014-05-23,2.42
2014-05-26,2.47
2014-05-27,2.45
2014-05-28,2.47
2014-05-29,2.41
2014-05-30,2.43
2014-06-02,2.46
2014-06-03,2.52
2014-06-04,2.51
2014-06-05,2.49
2014-06-06,2.54
2014-06-09,2.51
2014-06-10,2.52
2014-06-11,2.5
2014-06-12,2.49
2014-06-13,2.48
2014-06-16,2.45
2014-06-17,2.45
2014-06-18,2.42
2014-06-19,2.44
2014-06-20,2.48
2014-06-23,2.49
2014-06-24,2.52
2014-06-25,2.51
2014-06-26,2.53
2014-06-27,2.5
2014-06-30,2.46
2014-07-01,2.45
2014-07-02,2.47
2014-07-03,2.49
2014-07-04,2.52
2014-07-07,2.59
2014-07-08,2.57
2014-07-09,2.55
2014-07-10,2.48
2014-07-11,2.48
2014-07-14,2.45
2014-07-15,2.42
2014-07-16,2.425
2014-07-17,2.43
2014-07-18,2.44
2014-07-21,2.44
2014-07-22,2.43
2014-07-23,2.42
2014-07-24,2.43
2014-07-25,2.43
2014-07-28,2.43
2014-07-29,2.43
2014-07-30,2.43
2014-07-31,2.47
2014-08-01,2.46
2014-08-04,2.47
2014-08-05,2.48
2014-08-06,2.48
2014-08-07,2.5
2014-08-08,2.46
2014-08-11,2.47
2014-08-12,2.5
2014-08-13,2.52
2014-08-14,2.53
2014-08-15,2.5
2014-08-18,2.43
2014-08-19,2.36
2014-08-20,2.4
2014-08-21,2.415
2014-08-22,2.43
2014-08-25,2.42
2014-08-26,2.41
2014-08-27,2.42
2014-08-28,2.43
2014-08-29,2.41
2014-09-01,2.41
2014-09-02,2.42
2014-09-03,2.42
2014-09-04,2.39
2014-09-05,2.35
2014-09-08,2.34
2014-09-09,2.33
